AR,Gap (%),Overlap (%),Flap_deg,AoA_deg,CL,CD,L/D,Stalled,Slot_eff,CL_main,CL_flap,CD_induced,CD_profile,CL_norm,CD_norm,CD_norm_inv,combined_score,dist_to_ideal
8.5,6.0,10.0,30,8,2.02725,0.25248,8.02951,False,0.73585,1.08169,0.94556,0.18769,0.05567,0.3138211139816266,0.1668204474149273,0.8331795525850727,1.1470006665666994,0.7061660748670474
8.5,5.0,6.0,30,8,2.02445,0.2522,8.02702,False,0.72348,1.08169,0.94276,0.18717,0.05567,0.3110413545060313,0.16598313181455485,0.8340168681854452,1.1450582226914765,0.7086708793564556
8.5,6.0,8.0,30,8,2.02184,0.25195,8.02468,False,0.71194,1.08169,0.94015,0.18669,0.05567,0.3084478284009871,0.1652039100768983,0.8347960899231017,1.1432439183240888,0.7110110673878478
8.5,6.0,6.0,30,8,2.01557,0.25135,8.01894,False,0.68421,1.08169,0.93388,0.18553,0.05567,0.3022152330529236,0.16333921689847838,0.8366607831015216,1.1388760161544451,0.7166472498798792
8.5,4.0,10.0,30,8,2.01397,0.2512,8.01745,False,0.67715,1.08169,0.93228,0.18524,0.05567,0.30062798437289545,0.16286611594227818,0.8371338840577218,1.1377618684306172,0.7180853625889074
8.5,6.0,10.0,25,10,2.05134,0.27831,7.3708,False,0.73585,1.25211,0.79922,0.19217,0.07818,0.3377524352524904,0.24683952424892824,0.7531604757510717,1.090912911003562,0.7067542626298368
8.5,5.0,6.0,25,10,2.04897,0.27811,7.36748,False,0.72348,1.25211,0.79686,0.19173,0.07818,0.3354028810172236,0.2462341277343599,0.7537658722656401,1.0891687532828636,0.7087457768631202
8.5,6.0,8.0,25,10,2.04676,0.27793,7.36436,False,0.71194,1.25211,0.79465,0.19132,0.07818,0.33321073802863765,0.24567071712022492,0.7543292828797751,1.0875400209084127,0.7106067978359619
8.5,6.0,10.0,25,8,1.88091,0.22518,8.35279,False,0.73585,1.08169,0.79922,0.16157,0.05567,0.16841424411117398,0.08227638514403107,0.9177236148559689,1.0861378589671429,0.8356460213209652
8.5,5.0,6.0,25,8,1.87855,0.22503,8.34817,False,0.72348,1.08169,0.79686,0.16116,0.05567,0.16606468987590717,0.08178501171972197,0.918214988280278,1.0842796781561852,0.8379360892178842
